city,longitude,latitude,maxtemp_f,humidity_percent,cloudiness_percent,windspeed_mph,country,date
San Isidro,-77.05,-12.1167,68.5,50.0,0.0,1.01,PE,2022-02-05 22:20:17-05:00
Ushuaia,-68.3,-54.8,49.66,57.0,20.0,18.41,AR,2022-02-05 22:16:47-05:00
Tasiilaq,-37.6368,65.6145,14.16,55.0,95.0,6.93,GL,2022-02-05 22:10:33-05:00
Key Largo,-80.4473,25.0865,72.01,80.0,48.0,8.88,US,2022-02-05 22:19:45-05:00
Norman Wells,-126.8329,65.282,-10.93,93.0,40.0,5.86,CA,2022-02-05 22:13:58-05:00
Cape Town,18.4232,-33.9258,66.09,75.0,0.0,1.01,ZA,2022-02-05 22:17:21-05:00
Saint-Philippe,55.7679,-21.3585,78.39,84.0,99.0,19.24,RE,2022-02-05 22:10:35-05:00
Port Alfred,26.891,-33.5906,70.2,88.0,49.0,25.12,ZA,2022-02-05 22:10:30-05:00
Mayumba,10.6554,-3.432,76.37,88.0,97.0,5.26,GA,2022-02-05 22:20:18-05:00
Soyo,12.3689,-6.1349,77.49,85.0,99.0,3.78,AO,2022-02-05 22:20:18-05:00
Igarka,86.5833,67.4667,-4.74,98.0,98.0,3.49,RU,2022-02-05 22:20:19-05:00
Khatanga,102.5,71.9667,-20.94,98.0,99.0,6.02,RU,2022-02-05 22:20:19-05:00
Isla Mujeres,-86.731,21.2311,71.65,82.0,91.0,15.1,MX,2022-02-05 22:20:19-05:00
Superior,-92.1041,46.7208,17.42,84.0,100.0,0.0,US,2022-02-05 22:19:37-05:00
Bluff,168.3333,-46.6,59.81,58.0,9.0,11.59,NZ,2022-02-05 22:19:51-05:00
Diego de Almagro,-70.05,-26.3667,66.27,37.0,0.0,0.51,CL,2022-02-05 22:16:21-05:00
San Patricio,-97.5169,28.017,44.83,59.0,0.0,6.73,US,2022-02-05 22:15:15-05:00
Punta Arenas,-70.9167,-53.15,53.71,58.0,40.0,8.05,CL,2022-02-05 22:16:47-05:00
Ribeira Grande,-28.7,38.5167,59.5,75.0,4.0,15.01,PT,2022-02-05 22:12:00-05:00
Hermanus,19.2345,-34.4187,71.91,89.0,64.0,9.89,ZA,2022-02-05 22:20:20-05:00
East London,27.9116,-33.0153,69.66,89.0,93.0,16.06,ZA,2022-02-05 22:12:37-05:00
Avarua,-159.775,-21.2078,82.45,74.0,40.0,12.66,CK,2022-02-05 22:12:47-05:00
Fortuna,-124.1573,40.5982,47.66,92.0,0.0,0.0,US,2022-02-05 22:14:34-05:00
Coreaú,-40.6567,-3.5333,72.88,91.0,29.0,1.54,BR,2022-02-05 22:20:20-05:00
Ridgecrest,-117.6709,35.6225,51.42,21.0,67.0,2.46,US,2022-02-05 22:20:21-05:00
Flinders,150.8552,-34.5833,72.81,66.0,88.0,15.95,AU,2022-02-05 22:18:34-05:00
Bredasdorp,20.0403,-34.5322,68.29,96.0,51.0,6.46,ZA,2022-02-05 22:20:21-05:00
Amapá,-52.0,1.0,71.2,99.0,100.0,1.48,BR,2022-02-05 22:16:51-05:00
Sisimiut,-53.6735,66.9395,1.2,93.0,100.0,7.05,GL,2022-02-05 22:20:22-05:00
Cherskiy,161.3,68.75,-28.55,98.0,24.0,0.98,RU,2022-02-05 22:13:42-05:00
Igatpuri,73.55,19.7,65.25,35.0,19.0,5.23,IN,2022-02-05 22:20:22-05:00
Codrington,141.9667,-38.2667,79.2,40.0,56.0,15.57,AU,2022-02-05 22:10:47-05:00
Geraldton,114.6,-28.7667,81.01,61.0,100.0,18.41,AU,2022-02-05 22:11:11-05:00
Butaritari,172.7902,3.0707,82.83,74.0,93.0,17.11,KI,2022-02-05 22:11:53-05:00
Ulladulla,150.4667,-35.35,71.87,57.0,36.0,13.76,AU,2022-02-05 22:20:22-05:00
San Andrés,-81.7006,12.5847,80.62,74.0,20.0,9.22,CO,2022-02-05 22:18:21-05:00
Rikitea,-134.9692,-23.1203,79.43,68.0,100.0,13.71,PF,2022-02-05 22:20:23-05:00
Hobart,147.3294,-42.8794,76.01,46.0,20.0,1.01,AU,2022-02-05 22:20:17-05:00
Nikolskoye,30.7861,59.7035,27.72,97.0,100.0,4.85,RU,2022-02-05 22:11:07-05:00
Malé,73.5089,4.1748,81.3,65.0,100.0,7.58,MV,2022-02-05 22:20:23-05:00
